Series_Title,Genre,IMDB_Rating
The Shawshank Redemption,Drama,9.3
The Godfather,"Crime, Drama",9.2
The Dark Knight,"Action, Crime, Drama",9
The Godfather: Part II,"Crime, Drama",9
12 Angry Men,"Crime, Drama",9
The Lord of the Rings: The Return of the King,"Action, Adventure, Drama",8.9
Pulp Fiction,"Crime, Drama",8.9
Schindler's List,"Biography, Drama, History",8.9
Inception,"Action, Adventure, Sci-Fi",8.8
Fight Club,Drama,8.8
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama",8.8
Forrest Gump,"Drama, Romance",8.8
"Il buono, il brutto, il cattivo",Western,8.8
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",8.7
The Matrix,"Action, Sci-Fi",8.7
Goodfellas,"Biography, Crime, Drama",8.7
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7
One Flew Over the Cuckoo's Nest,Drama,8.7
Hamilton,"Biography, Drama, History",8.6
Gisaengchung,"Comedy, Drama, Thriller",8.6
